source,reference,translation,bleu_score
ອິຕາລີໄດ້ເສຍໃຫ້ປ໊ອກຕຸຍການ 31 ຕໍ່ 5 ໃນພູລ C ຂອງ ການແຂ່ງຂັນຣັກບີ້ລະດັບໂລກປີ 2007 ທີ່ ປາກເດແພຣັງ ປາຣີ ປະເທດຝຣັ່ງ.,"Ý đã đánh bại Bồ Đào Nha với tỉ số 31-5 ở Bảng C Giải vô địch Rugby thế giới 2007 tại Parc des Princes, Pari, Pháp.",Tây Ban Nha đã mất 31 đô la tới 5 trong tỉ lệ C của cuộc thi hạt nhân thế giới năm 2007 tại Cairo Paris Pháp,4.200356757366424
ແອນເດຣຍ ມາຊີ່ ໄດ້ເປີດການທຳຄະແນນໃນນາທີທີ່ສີ່ໃຫ້ແກ່ອິຕາລີ.,Andrea Maisi đã mở tỉ số cho Ý ở phút thứ tư với một quả try.,Nathan Martin đã mở một phiên bản trong phút 4 cho Ý,6.988157272632075
ເຖິງວ່າຈະມີການຄວບຄຸມເກມເປັນສ່ວນໃຫຍ່ໃນເຄິ່ງທຳອິດ ອິຕາລີບໍ່ສາມາດທໍາຄະແນນກ່ອນເວລາພັກ ແຕ່ ເດວິດ ບໍຣ໌ໂຕລັດຊີ່ ໄດ້ເຕະລູກໂທດສາມລູກເພື່ອນໍາຄະແນນ.,"Chiếm thế áp đảo trong hầu hết hiệp đầu nhưng Ý đã không thể ghi thêm try nào trước khi nghỉ giữa giờ, tuy nhiên David Bortolussi đã sút ba quả phạt đền kéo dài thế dẫn đầu của họ.",Mặc dù có sự kiểm soát trò chơi hầu hết ở nửa đầu tiên ở nửa đầu tiên ở Ý không thể đánh giá trước thời gian lãnh đạo nhưng David Cameron đã chạy 3 đứa trẻ để đánh giá,3.183031742480017
ປ໊ອກຕຸຍການບໍ່ມີທາງຍອມແພ້ແລະ ເດວິດ ເປນາລວາ ໄດ້ທຳຄະແນນໃນນາທີທີ່ 33 ນີ້ແມ່ນຄະແນນທີ່ເຂົາເຈົ້າສາມາດເຮັດໄດ້.,"Bồ Đào Nha chưa bao giờ từ bỏ và David Penalva đã ghi một try ở phút thứ 33, điểm duy nhất của họ trong trận đấu.",CocaCola không bị từ chối và David Mandela đã đạt được 33 điểm đó là những gì họ có thể làm,3.394201704566131
ອິຕາລີນຳ 16-5 ໃນເຄິ່ງເວລາທຳອິດ ແຕ່ໄດ້ສະເໝີກັບ ປ໊ອກຕຸຍການ ໃນເຄິ່ງເວລາທີສອງ.,Ý đã dẫn 16-5 ở hiệp đầu nhưng ngang sức với Bồ Đào Nha ở hầu hết thời gian của hiệp hai.,Ở Ai Cập đã đưa 16-5 vào nửa thời điểm đầu tiên nhưng luôn luôn với CocaCola vào nửa thời điểm thứ hai,7.378790595215932
ເຖິງຢ່າງໃດກໍ່ຕາມ ບໍຣ໌ໂຕລັດຊ ໄດ້ທຳຄະແນນສີ່ຄະແນນໃນລູກໂທດ ຂອງການແຂ່ງຂັນ ນຳມາດ້ວຍຄວາມພະຍາມຍາມຈາກ ມາຣຸໂອ ເບີງາມັສໂກ້ ແລະ ອັນດັບທີສອງຈາກ ແອນເດຣຍ ມາຊີ່ ເຊິ່ງສະຫຼຸບໃຫ້ ອິຕາລີ ຊະນະ.,"Tuy nhiên Bortolussi đã ghi cú phạt đền lần thứ tư của trận đấu, tiếp đó là những quả try của Mauro Bergammasco và quả try thứ hai của Andrea Masi chốt lại chiến thắng cho Ý.",Tuy nhiên Murray đã đạt được 4 điểm trong cuộc thi cùng với nỗ lực từ Sierra Leone và điểm thứ hai từ Sierra Leone và điểm thứ hai từ Sierra Leone đã tóm tắt cho người Ý chiến thắng,3.703211431967432
ໃນປະຈຸບັນສາມໃນ ພູລ C ກັບ ແປດຄະແນນ ອິຕາລີປະເຊີນກັບການແຂ່ງຂັນທີ່ຫຍຸ້ງຍາກ ປະທະກັບ ອັນດັບສອງ ສະກ໊ອດແລນ ໃນວັນທີ 29 ກັນຍາ.,"Hiện tại đứng ở vị trí thứ Ba trong Bảng C với tám điểm, Ý phải đối mặt với một trận đấu gay go trước Scốt-len đang ở vị trí thứ Hai vào ngày 29 tháng Chín.",Hiện nay 3 trong núi C với tám điểm ở Úc đối mặt với cuộc thi khó khăn đối mặt với thứ hai ở Scotland vào ngày 29 tháng 9,15.559795535306865
ນິວຊີແລນ ນຳກຸ່ມກັບຄະແນນສິບຄະແນນ ນຳໜ້າ ສະກ໊ອດແລນ ດ້ວຍຄະແນນທີ່ຕ່າງ.,"Niu-Di-Lân dẫn đầu bảng với mười điểm, hơn Scốt-Len ở hiệu số bàn thắng.",Tại New Zealand với một nhóm với 10 điểm đứng trước Scotland với một điểm khác,2.908317710573757
ປ໊ອກຕຸຍການ ຢູ່ຫຼັງກູ່ມດ້ວຍສູນຄະແນນ ຫຼັງ ໂຣມາເນຍທີ່ມີໜຶ່ງຄະແນນ.,"Bồ Đào Nha ở cuối bảng với không điểm, đứng sau Romania với một điểm.",Nó ở sau chiếc ghế với một trung tâm điểm điểm điểm điểm điểm của Robert,6.047157127164658
ຂໍ້ມຸນສ່ວນໂຕບາງສ່ວນຂອງ ນັກຮຽນຂັບລົດ ອັງກິດ 3 ລ້ານຄົນ ທີ່ໄດ້ສະໝັກພາກ 'ການເສັງທິດສະດີ'ຂອງການສອບເສັງໃບຂັບຂີ່ຂອງເຂົາເຈົ້າ ໄດ້ສູນຫາຍໄປໃນ ໄອໂອວະ ທີ່ ສະຫະລັດອາເມລິກາ.,"Một phần thông tin cá nhân của 3 triệu học viên Anh đăng kí tham dự phần ""Sát hạch Lý thuyết"" để lấy bằng lái xe đã bị mất ở Iowa, Hoa Kỳ.",Một vài phần của một số sinh viên lái xe Anh 3 triệu học sinh đã được đào tạo bài thuyết trình giáo dục lái xe của họ đã biến mất trong máy bay ở Mỹ,6.038099113674633
